Name: James Johnson, Age: 36
Name: Keldon Johnson, Age: 24
Name: Keon Johnson, Age: 21
Name: Keyontae Johnson, Age: 23
Name: Nikola Jokić, Age: 28
Name: Colby Jones, Age: 21
Name: Damian Jones, Age: 28
Name: Derrick Jones Jr., Age: 26
Name: Herbert Jones, Age: 25
Name: Mason Jones, Age: 25
Name: Tre Jones, Age: 24
Name: Tyus Jones, Age: 27
Name: DeAndre Jordan, Age: 35
Name: Cory Joseph, Age: 32
Name: Nikola Jović, Age: 20
Name: Johnny Juzang, Age: 22
Name: Luke Kennard, Age: 27
Name: Walker Kessler, Age: 22
Name: Braxton Key, Age: 26
Name: Corey Kispert, Age: 24
Name: Maxi Kleber, Age: 32
Name: Kevin Knox, Age: 24
Name: John Konchar, Age: 27
Name: Furkan Korkmaz, Age: 26
Name: Luke Kornet, Age: 28
Name: Vit Krejci, Age: 23
Name: Jonathan Kuminga, Age: 21
Name: Kyle Kuzma, Age: 28
Name: Jock Landale, Age: 28
Name: Jake LaRavia, Age: 22
Name: Zach LaVine, Age: 28
Name: A.J. Lawson, Age: 23
Name: Saben Lee, Age: 24
Name: Alex Len, Age: 30
Name: Kawhi Leonard, Age: 32
Name: Caris LeVert, Age: 29
Name: Kira Lewis Jr., Age: 22
Name: Maxwell Lewis, Age: 21
Name: E.J. Liddell, Age: 23
Name: Damian Lillard, Age: 33
Name: Nassir Little, Age: 23
Name: Dereck Lively II, Age: 19
Name: Isaiah Livers, Age: 25
Name: Chris Livingston, Age: 20
Name: Kenneth Lofton Jr., Age: 21
Name: Kevon Looney, Age: 27
Name: Brook Lopez, Age: 35
Name: Robin Lopez, Age: 35
Name: Kevin Love, Age: 35
Name: Kyle Lowry, Age: 37
Name: Seth Lundy, Age: 23
Name: Trey Lyles, Age: 28
Name: Théo Maledon, Age: 22
Name: Sandro Mamukelashvili, Age: 24
Name: Terance Mann, Age: 27
Name: Tre Mann, Age: 22
Name: Boban Marjanović, Age: 35
Name: Lauri Markkanen, Age: 26
Name: Naji Marshall, Age: 26
Name: Caleb Martin, Age: 28
Name: Cody Martin, Age: 28
Name: KJ Martin, Age: 23
Name: Garrison Mathews, Age: 27
Name: Bennedict Mathurin, Age: 21
Name: Wesley Matthews, Age: 37
Name: Tyrese Maxey, Age: 23
Name: Skylar Mays, Age: 26
Name: Miles McBride, Age: 23
Name: CJ McCollum, Age: 32
Name: T.J. McConnell, Age: 31
Name: Jaden McDaniels, Age: 23
Name: Jalen McDaniels, Age: 26
Name: Doug McDermott, Age: 32
Name: JaVale McGee, Age: 36
Name: Bryce McGowens, Age: 21
Name: Jordan McLaughlin, Age: 27
Name: De'Anthony Melton, Age: 25
Name: Nathan Mensah, Age: 25
Name: Sam Merrill, Age: 27
Name: Chimezie Metu, Age: 26
Name: Vasilije Micić, Age: 30
Name: Khris Middleton, Age: 32
Name: Brandon Miller, Age: 21
Name: Jordan Miller, Age: 24
Name: Leonard Miller, Age: 20
Name: Dariq Whitehead, Age: 19
Name: Patty Mills, Age: 35
Name: Shake Milton, Age: 27
Name: Justin Minaya, Age: 24
Name: Josh Minott, Age: 21
Name: Davion Mitchell, Age: 25
Name: Donovan Mitchell, Age: 27
Name: Evan Mobley, Age: 22
Name: Isaiah Mobley, Age: 24
Name: Malik Monk, Age: 25
Name: Moses Moody, Age: 21
Name: Xavier Moon, Age: 29
Name: Taze Moore, Age: 25
Name: Wendell Moore Jr., Age: 22
Name: Ja Morant, Age: 24
Name: Marcus Morris, Age: 34
Name: Markieff Morris, Age: 34
Name: Monte Morris, Age: 28
Name: Trey Murphy III, Age: 23
Name: Dejounte Murray, Age: 27
Name: Jamal Murray, Age: 26
Name: Keegan Murray, Age: 23
Name: Kris Murray, Age: 23
Name: Mike Muscala, Age: 32
Name: Svi Mykhailiuk, Age: 26
Name: Larry Nance Jr., Age: 31
Name: Pete Nance, Age: 23
Name: Andrew Nembhard, Age: 24
Name: Aaron Nesmith, Age: 24
Name: Georges Niang, Age: 30
Name: Daishen Nix, Age: 21
Name: Zeke Nnaji, Age: 23
Name: Jaylen Nowell, Age: 24
Name: Markquis Nowell, Age: 24
Name: Frank Ntilikina, Age: 25
Name: Jusuf Nurkić, Age: 29
Name: Jordan Nwora, Age: 25
Name: Royce O'Neale, Age: 30
Name: Chuma Okeke, Age: 25
Name: Josh Okogie, Age: 25
Name: Onyeka Okongwu, Age: 23
Name: Isaac Okoro, Age: 23
Name: Kelly Olynyk, Age: 32
Name: Eugene Omoruyi, Age: 26
Name: Cedi Osman, Age: 28
Name: Kelly Oubre Jr., Age: 28
Name: Chris Paul, Age: 38
Name: Cameron Payne, Age: 29
Name: Gary Payton II, Age: 31
Name: Mãozinha Pereira, Age: 23
Name: Drew Peterson, Age: 24
Name: Filip Petrušev, Age: 23
Name: Julian Phillips, Age: 20
Name: Jalen Pickett, Age: 24
Name: Scotty Pippen Jr., Age: 23
Name: Mason Plumlee, Age: 33
Name: Brandin Podziemski, Age: 20
Name: Jakob Poeltl, Age: 28
Name: Aleksej Pokusevski, Age: 22
Name: Jordan Poole, Age: 24
Name: Craig Porter Jr., Age: 23
Name: Jontay Porter, Age: 24
Name: Michael Porter Jr., Age: 25
Name: Otto Porter Jr., Age: 30
Name: Bobby Portis, Age: 28
Name: Kristaps Porziņģis, Age: 28
Name: Micah Potter, Age: 25
Name: Dwight Powell, Age: 32
Name: Norman Powell, Age: 30
Name: Jason Preston, Age: 24
Name: Joshua Primo, Age: 21
Name: Taurean Prince, Age: 29
Name: Payton Pritchard, Age: 26
Name: Olivier-Maxence Prosper, Age: 21
Name: Trevelin Queen, Age: 26
Name: Neemias Queta, Age: 24
Name: Immanuel Quickley, Age: 24
Name: Lester Quinones, Age: 23
Name: Jahmi'us Ramsey, Age: 22
Name: Julius Randle, Age: 29
Name: Duop Reath, Age: 27
Name: Austin Reaves, Age: 25
Name: Cam Reddish, Age: 24
Name: Paul Reed, Age: 24
Name: Naz Reid, Age: 24
Name: Jared Rhoden, Age: 24
Name: Nick Richards, Age: 26
Name: Josh Richardson, Age: 30
Name: Duncan Robinson, Age: 29
Name: Jerome Robinson, Age: 26
Name: Mitchell Robinson, Age: 25
Name: Orlando Robinson, Age: 23
Name: Jeremiah Robinson-Earl, Age: 23
Name: David Roddy, Age: 22
Name: Ryan Rollins, Age: 21
Name: Derrick Rose, Age: 35
Name: Terry Rozier, Age: 29
Name: Rayan Rupert, Age: 19
Name: D'Angelo Russell, Age: 27
Name: Matt Ryan, Age: 26
Name: Domantas Sabonis, Age: 27
Name: Luka Šamanić, Age: 24
Name: Jermaine Samuels, Age: 25
Name: Adama Sanogo, Age: 21
Name: Gui Santos, Age: 21
Name: Dario Šarić, Age: 29
Name: Olivier Sarr, Age: 24
Name: Marcus Sasser, Age: 23
Name: Admiral Schofield, Age: 26
Name: Dennis Schröder, Age: 30
Name: Dereon Seabron, Age: 23
Name: Alperen Sengun, Age: 21
Name: Brice Sensabaugh, Age: 20
Name: Collin Sexton, Age: 25
Name: Landry Shamet, Age: 26
Name: Day'Ron Sharpe, Age: 22
Name: Shaedon Sharpe, Age: 20
Name: Ben Sheppard, Age: 22
Name: Pascal Siakam, Age: 29
Name: Ben Simmons, Age: 27
Name: Kobi Simmons, Age: 26
Name: Anfernee Simons, Age: 24
Name: Zavier Simpson, Age: 26
Name: Jericho Sims, Age: 25
Name: Dmytro Skapintsev, Age: 25
Name: Jalen Slawson, Age: 24
Name: Javonte Smart, Age: 24
Name: Marcus Smart, Age: 29
Name: Dennis Smith Jr., Age: 26
Name: Dru Smith, Age: 26
Name: Ish Smith, Age: 35
Name: Jabari Smith Jr., Age: 20
Name: Jalen Smith, Age: 23
Name: Nick Smith Jr., Age: 19
Name: Terquavion Smith, Age: 21
Name: Jeremy Sochan, Age: 20
Name: Pat Spencer, Age: 27
Name: Jaden Springer, Age: 21
Name: Lamar Stevens, Age: 26
Name: Isaiah Stewart, Age: 22
Name: Julian Strawther, Age: 21
Name: Max Strus, Age: 27
Name: Jalen Suggs, Age: 22
Name: Cole Swider, Age: 24
Name: Jae'Sean Tate, Age: 28
Name: Jayson Tatum, Age: 25
Name: Terry Taylor, Age: 24
Name: Garrett Temple, Age: 37
Name: Dalen Terry, Age: 21
Name: Daniel Theis, Age: 31
Name: Cam Thomas, Age: 22
Name: Isaiah Thomas, Age: 34
Name: Amen Thompson, Age: 21
Name: Ausar Thompson, Age: 21
Name: Klay Thompson, Age: 33
Name: Tristan Thompson, Age: 32
Name: JT Thor, Age: 21
Name: Matisse Thybulle, Age: 26
Name: Xavier Tillman Sr., Age: 25
Name: Jacob Toppin, Age: 23
Name: Obi Toppin, Age: 25
Name: Juan Toscano-Anderson, Age: 30
Name: Karl-Anthony Towns, Age: 28
Name: Gary Trent Jr., Age: 25
Name: Oscar Tshiebwe, Age: 24
Name: P.J. Tucker, Age: 38
Name: Myles Turner, Age: 27
Name: Hunter Tyson, Age: 23
Name: Stanley Umude, Age: 24
